generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
56,0,0,1.17751e-05,0,3.6922e-05,0,0.00671182,1.01785e-05,6.78566e-06,0,0.00257037,4.19114e-06,0.00198441,8.18271e-06,0.986898,0.00175729
57,0,0,1.15554e-05,0,3.71874e-05,0,0.00672336,9.87462e-06,6.93325e-06,0,0.00256824,3.99187e-06,0.00198312,8.40394e-06,0.986886,0.00176104
58,0,0,1.11433e-05,0,3.74097e-05,0,0.006724,9.75041e-06,6.36762e-06,0,0.00256655,3.78077e-06,0.00200082,7.76053e-06,0.986867,0.00176502
59,0,0,1.13118e-05,0,3.7706e-05,0,0.00673785,9.63597e-06,6.28433e-06,0,0.00256128,3.7706e-06,0.00199695,7.96015e-06,0.986858,0.00176904
60,0,0,1.07776e-05,0,3.8919e-05,0,0.00673358,9.58005e-06,5.98753e-06,0,0.00257324,3.7921e-06,0.00200542,7.58421e-06,0.986828,0.00178349
61,0,0,1.09261e-05,0,3.84516e-05,0,0.00673743,9.4553e-06,5.46306e-06,0,0.00257457,3.99224e-06,0.002006,7.77436e-06,0.986817,0.00178894
62,0,0,1.0944e-05,0,3.86026e-05,0,0.00673137,9.75013e-06,5.77049e-06,0,0.00256986,4.57659e-06,0.00202405,7.76031e-06,0.986802,0.00179522
63,0,0,1.11027e-05,0,4.00115e-05,0,0.00673659,1.00552e-05,5.44659e-06,0,0.00256513,4.39917e-06,0.00202278,7.75091e-06,0.986802,0.00179444
64,0,0,1.11755e-05,0,3.79168e-05,0,0.00672924,9.97811e-06,4.98906e-06,0,0.00256258,4.58993e-06,0.00201837,7.3838e-06,0.986818,0.00179586
65,0,0,1.1555e-05,0,3.76063e-05,0,0.00673741,1.00844e-05,5.25228e-06,0,0.00255513,4.622e-06,0.00201414,7.1431e-06,0.986823,0.00179439
66,0,0,1.15455e-05,0,3.58309e-05,0,0.00673302,1.01521e-05,5.37463e-06,0,0.00255594,4.57839e-06,0.0020127,7.16617e-06,0.986837,0.00178637
67,0,0,1.19454e-05,0,3.395e-05,0,0.00673195,1.04784e-05,5.44877e-06,0,0.00255652,4.40093e-06,0.00201562,7.12531e-06,0.986832,0.00179013
