generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
3350,0,0,7.38093e-06,0,3.09201e-05,0,0.00684193,1.13706e-05,2.99227e-06,0,0.00257854,4.38866e-06,0.00192323,3.98969e-06,0.986727,0.00186837
3351,0,0,7.3496e-06,0,3.06583e-05,0,0.00685276,1.13394e-05,2.72985e-06,0,0.0025732,4.40976e-06,0.00191887,3.98978e-06,0.986725,0.00186953
3352,0,0,7.36453e-06,0,3.08514e-05,0,0.00683209,1.21415e-05,2.98562e-06,0,0.0025738,4.17987e-06,0.00192373,3.98083e-06,0.986725,0.00188393
3353,0,0,7.54267e-06,0,3.01707e-05,0,0.0068324,1.21521e-05,2.93326e-06,0,0.00257876,4.19037e-06,0.00192841,4.19037e-06,0.986724,0.0018754
3354,0,0,7.98116e-06,0,3.01289e-05,0,0.00682668,1.07746e-05,2.39435e-06,0,0.00257352,4.58916e-06,0.00193104,4.78869e-06,0.986722,0.00188635
3355,0,0,7.98075e-06,0,3.08729e-05,0,0.00683026,1.0711e-05,2.52024e-06,0,0.00257526,4.62043e-06,0.00193113,4.83045e-06,0.98672,0.00188136
3356,0,0,8.16133e-06,0,3.04557e-05,0,0.00687324,1.055e-05,2.38868e-06,0,0.00258137,4.1802e-06,0.00193205,5.57359e-06,0.986683,0.00186855
3357,0,0,8.3809e-06,0,3.05903e-05,0,0.00687946,1.04761e-05,2.51427e-06,0,0.00256791,4.19045e-06,0.00192949,5.65711e-06,0.986688,0.00187313
3358,0,0,8.57901e-06,0,3.15229e-05,0,0.00687478,9.57657e-06,2.39414e-06,0,0.00257031,4.18975e-06,0.00192908,5.78584e-06,0.986678,0.00188559
3359,0,0,9.03215e-06,0,3.00371e-05,0,0.00689384,9.2422e-06,2.1005e-06,0,0.00257689,4.201e-06,0.00192847,6.09145e-06,0.986653,0.00188688
3360,0,0,8.35887e-06,0,3.04502e-05,0,0.00687835,8.75691e-06,2.18923e-06,0,0.00259005,4.17943e-06,0.0019313,5.57258e-06,0.986653,0.00188771
3361,0,0,8.17049e-06,0,2.9749e-05,0,0.00686258,8.79899e-06,2.3045e-06,0,0.00258984,4.39949e-06,0.00193012,5.65649e-06,0.986669,0.00188906
