generation,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv
73,0,0,1.45E-05,0,3.95E-05,0,0.00667013,7.36E-06,3.37E-06,0,0.00255052,2.94E-06,0.00199671,8.41E-06,0.986857,0.00184905
74,0,0,1.53E-05,0,3.92E-05,0,0.00666559,7.75E-06,3.38E-06,0,0.00254017,2.78E-06,0.00199413,7.95E-06,0.986878,0.00184624
75,0,0,1.59E-05,0,4.02E-05,0,0.00667078,7.53E-06,3.35E-06,0,0.00253141,2.93E-06,0.00199424,8.37E-06,0.986881,0.001844
76,0,0,1.62E-05,0,4.14E-05,0,0.00665272,6.79E-06,3.00E-06,0,0.002531,3.40E-06,0.00199544,8.79E-06,0.986887,0.0018544
77,0,0,1.58E-05,0,4.06E-05,0,0.00665611,6.94E-06,2.94E-06,0,0.00252672,3.15E-06,0.00199319,9.04E-06,0.986898,0.00184746
78,0,0,1.59E-05,0,4.02E-05,0,0.00664584,7.55E-06,2.78E-06,0,0.00252069,2.78E-06,0.00199449,9.54E-06,0.986919,0.00184102
79,0,0,1.57E-05,0,3.96E-05,0,0.00663686,7.33E-06,2.93E-06,0,0.0025231,2.93E-06,0.00198352,9.84E-06,0.986939,0.00183974
80,0,0,1.52E-05,0,3.93E-05,0,0.00662959,7.59E-06,3.00E-06,0,0.00253551,3.00E-06,0.00198502,1.02E-05,0.986927,0.0018442
81,0,0,1.58E-05,0,3.95E-05,0,0.00661912,7.57E-06,3.15E-06,0,0.00253964,2.73E-06,0.00198635,9.88E-06,0.986934,0.00184256
82,0,0,1.59E-05,0,4.10E-05,0,0.00660737,7.56E-06,2.98E-06,0,0.00254449,2.98E-06,0.00198002,9.35E-06,0.986949,0.0018398
83,0,0,1.59E-05,0,4.15E-05,0,0.00659031,7.33E-06,2.93E-06,0,0.00254525,2.72E-06,0.00198264,9.63E-06,0.986959,0.00184256
84,0,0,1.70E-05,0,4.19E-05,0,0.00659849,7.59E-06,3.20E-06,0,0.00253392,2.60E-06,0.00198316,8.59E-06,0.986969,0.00183419
85,0,0,1.72E-05,0,4.14E-05,0,0.00660977,7.78E-06,3.15E-06,0,0.00254089,2.52E-06,0.00197473,8.62E-06,0.986962,0.00183198
86,0,0,1.69E-05,0,4.06E-05,0,0.00661439,7.36E-06,3.58E-06,0,0.0025412,2.79E-06,0.00196806,7.76E-06,0.986966,0.0018314
87,0,0,1.68E-05,0,4.10E-05,0,0.00662582,7.33E-06,3.56E-06,0,0.00253486,2.93E-06,0.00197931,7.33E-06,0.986947,0.00183398
88,0,0,1.66E-05,0,4.05E-05,0,0.00664156,6.99E-06,3.39E-06,0,0.00252217,2.99E-06,0.00196528,7.58E-06,0.986956,0.00183714
89,0,0,1.66E-05,0,4.10E-05,0,0.00664871,6.30E-06,3.36E-06,0,0.00252321,2.94E-06,0.00195738,7.35E-06,0.986961,0.00183195
90,0,0,1.61E-05,0,4.04E-05,0,0.00664761,5.77E-06,3.58E-06,0,0.00253404,2.59E-06,0.00194506,6.37E-06,0.986966,0.00183263
91,0,0,1.65E-05,0,3.90E-05,0,0.00664083,5.66E-06,3.35E-06,0,0.00253082,2.30E-06,0.00194451,5.87E-06,0.986978,0.00183286
92,0,0,1.72E-05,0,3.75E-05,0,0.00661124,5.79E-06,3.39E-06,0,0.00253626,2.60E-06,0.00193718,5.39E-06,0.987011,0.00183198
93,0,0,1.68E-05,0,3.76E-05,0,0.00661456,5.88E-06,3.36E-06,0,0.00253651,2.52E-06,0.00193343,4.83E-06,0.987013,0.00183152
94,0,0,1.75E-05,0,3.66E-05,0,0.00660683,6.17E-06,3.58E-06,0,0.00253332,2.98E-06,0.00191918,5.17E-06,0.987048,0.00182091
95,0,0,1.74E-05,0,3.64E-05,0,0.0066092,6.07E-06,3.77E-06,0,0.00253005,2.93E-06,0.00192125,5.45E-06,0.987048,0.00181968
96,0,0,1.72E-05,0,3.57E-05,0,0.00661508,5.99E-06,4.39E-06,0,0.00254363,3.39E-06,0.00192644,4.99E-06,0.987022,0.00182104
97,0,0,1.72E-05,0,3.53E-05,0,0.00662597,6.09E-06,4.41E-06,0,0.00253827,3.57E-06,0.00193102,5.04E-06,0.987012,0.00182112
98,0,0,1.71E-05,0,3.56E-05,0,0.00661669,6.17E-06,4.78E-06,0,0.00252976,3.58E-06,0.00193124,4.38E-06,0.987022,0.00182917
99,0,0,1.68E-05,0,3.56E-05,0,0.00663196,6.28E-06,4.82E-06,0,0.0025321,3.77E-06,0.00192384,4.19E-06,0.987008,0.00183252
100,0,0,1.72E-05,0,3.55E-05,0,0.00664022,6.99E-06,4.99E-06,0,0.00251461,4.19E-06,0.00192458,3.99E-06,0.987012,0.00183575
101,0,0,1.62E-05,0,3.64E-05,0,0.0066358,6.93E-06,5.04E-06,0,0.00251627,4.41E-06,0.00192749,4.20E-06,0.987014,0.00183335
102,0,0,1.55E-05,0,3.50E-05,0,0.00661897,7.56E-06,5.17E-06,0,0.00250646,4.58E-06,0.00192402,4.38E-06,0.987053,0.00182513
103,0,0,1.61E-05,0,3.48E-05,0,0.00661523,7.96E-06,5.45E-06,0,0.00250808,4.61E-06,0.00192442,4.61E-06,0.987052,0.00182701
104,0,0,1.46E-05,0,3.45E-05,0,0.00660818,7.58E-06,5.39E-06,0,0.00251457,4.59E-06,0.00193193,4.39E-06,0.987049,0.00182495
105,0,0,1.47E-05,0,3.47E-05,0,0.00661634,7.56E-06,5.25E-06,0,0.00250955,4.83E-06,0.00193847,4.41E-06,0.987039,0.0018248
106,0,0,1.43E-05,0,3.34E-05,0,0.00663159,7.36E-06,4.97E-06,0,0.00252299,4.58E-06,0.00195213,4.97E-06,0.986999,0.00182499
107,0,0,1.32E-05,0,3.41E-05,0,0.00662797,7.54E-06,4.82E-06,0,0.00252586,4.40E-06,0.0019545,4.82E-06,0.986998,0.00182465
108,0,0,1.40E-05,0,3.39E-05,0,0.0066218,7.19E-06,4.79E-06,0,0.00254173,4.79E-06,0.00195171,4.99E-06,0.986985,0.00182975
109,0,0,1.34E-05,0,3.38E-05,0,0.00662411,6.93E-06,4.83E-06,0,0.00254408,5.04E-06,0.00195513,5.04E-06,0.986973,0.00183431
110,0,0,1.37E-05,0,3.48E-05,0,0.00661282,7.56E-06,4.78E-06,0,0.00255056,4.78E-06,0.0019563,4.78E-06,0.986976,0.00183431
111,0,0,1.34E-05,0,3.52E-05,0,0.00662687,7.12E-06,5.03E-06,0,0.00256578,4.61E-06,0.00195806,5.03E-06,0.986944,0.0018351
112,0,0,1.32E-05,0,3.61E-05,0,0.00663167,7.58E-06,4.39E-06,0,0.00256478,4.39E-06,0.00195651,6.39E-06,0.986944,0.00183099
113,0,0,1.24E-05,0,3.70E-05,0,0.0066402,7.98E-06,4.20E-06,0,0.00256991,4.20E-06,0.00195059,6.51E-06,0.986934,0.00183274
114,0,0,1.31E-05,0,3.78E-05,0,0.00666212,7.76E-06,4.18E-06,0,0.00256517,3.78E-06,0.00196229,6.37E-06,0.986903,0.00183392
115,0,0,1.22E-05,0,3.77E-05,0,0.00665224,8.17E-06,3.56E-06,0,0.00256062,3.56E-06,0.00195865,6.70E-06,0.98693,0.00182686
116,0,0,1.20E-05,0,3.93E-05,0,0.0066423,8.78E-06,3.79E-06,0,0.00255585,3.19E-06,0.00196668,7.58E-06,0.986924,0.00183696
117,0,0,1.22E-05,0,4.01E-05,0,0.00663873,8.82E-06,3.99E-06,0,0.00255742,3.36E-06,0.00197101,7.35E-06,0.986931,0.00182582
118,0,0,1.27E-05,0,4.04E-05,0,0.0066488,8.75E-06,3.78E-06,0,0.0025552,3.18E-06,0.00197071,6.76E-06,0.986935,0.00181494
119,0,0,1.30E-05,0,3.87E-05,0,0.0066601,9.01E-06,3.77E-06,0,0.00255605,3.35E-06,0.00196835,7.12E-06,0.986932,0.00180834
120,0,0,1.34E-05,0,3.83E-05,0,0.00663975,9.18E-06,3.59E-06,0,0.00255301,3.79E-06,0.0019709,7.99E-06,0.986954,0.00180561
121,0,0,1.37E-05,0,3.91E-05,0,0.00664202,9.04E-06,3.78E-06,0,0.00254858,3.99E-06,0.00196686,7.99E-06,0.986955,0.00181008
122,0,0,1.27E-05,0,4.02E-05,0,0.00663873,8.95E-06,3.78E-06,0,0.0025529,4.77E-06,0.00196853,8.35E-06,0.98695,0.0018108
123,0,0,1.26E-05,0,4.04E-05,0,0.00662917,8.58E-06,3.77E-06,0,0.00253844,5.02E-06,0.00196538,8.37E-06,0.986979,0.00180919
124,0,0,1.16E-05,0,3.99E-05,0,0.00662786,8.19E-06,4.19E-06,0,0.00252996,4.99E-06,0.00196118,9.19E-06,0.986982,0.00182138
125,0,0,1.07E-05,0,3.93E-05,0,0.00662345,8.41E-06,3.99E-06,0,0.00252319,5.05E-06,0.00196519,9.25E-06,0.986992,0.00181907
126,0,0,1.15E-05,0,3.80E-05,0,0.00660728,8.75E-06,4.18E-06,0,0.00249468,4.57E-06,0.00197021,9.34E-06,0.987029,0.0018223
