generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
48,1.59851e-06,0,1.59851e-05,0,2.91728e-05,0,0.00679086,1.8183e-05,3.39683e-06,0,0.00251186,1.79832e-06,0.0020341,8.39217e-06,0.986842,0.00174257
49,1.68276e-06,0,1.61966e-05,0,2.92379e-05,0,0.00678552,1.91414e-05,3.15517e-06,0,0.00251573,1.8931e-06,0.00202983,8.62414e-06,0.986848,0.00174145
50,1.78867e-06,0,1.62968e-05,0,3.02086e-05,0,0.00679873,1.98741e-05,3.57734e-06,0,0.00251765,2.38489e-06,0.00204087,8.7446e-06,0.98682,0.00173958
51,1.88268e-06,0,1.65257e-05,0,3.01228e-05,0,0.00679898,2.00819e-05,3.55617e-06,0,0.00251463,2.51024e-06,0.00203894,8.57664e-06,0.986824,0.00174001
52,2.19842e-06,0,1.67879e-05,0,3.01783e-05,0,0.00678532,1.95859e-05,3.39756e-06,0,0.0025094,2.99785e-06,0.00203634,8.79368e-06,0.986833,0.00175174
53,2.10418e-06,0,1.57814e-05,0,3.09315e-05,0,0.00678072,1.97793e-05,3.57711e-06,0,0.0025086,3.15627e-06,0.00204,9.2584e-06,0.986832,0.00175383
54,2.58281e-06,0,1.70863e-05,0,3.03977e-05,0,0.0067751,1.96691e-05,2.78149e-06,0,0.00248923,2.98016e-06,0.00203366,9.53652e-06,0.986848,0.00176883
55,2.5099e-06,0,1.75693e-05,0,3.01188e-05,0,0.00678153,2.00792e-05,2.71906e-06,0,0.00247936,2.92821e-06,0.00203741,9.41212e-06,0.986842,0.00177408
56,2.79818e-06,0,1.8388e-05,0,2.97806e-05,0,0.0067688,1.9987e-05,3.19792e-06,0,0.00248239,3.39779e-06,0.00205726,9.19402e-06,0.986827,0.00177784
57,2.52456e-06,0,1.78823e-05,0,2.92428e-05,0,0.00678306,1.97757e-05,3.36607e-06,0,0.00248669,3.57645e-06,0.00205793,9.46709e-06,0.986809,0.0017775
58,2.1865e-06,0,1.82871e-05,0,3.00147e-05,0,0.00678869,2.00761e-05,3.37914e-06,0,0.00249818,3.18037e-06,0.00206287,8.74601e-06,0.986791,0.00177345
59,2.09251e-06,0,1.79956e-05,0,2.99229e-05,0,0.00678936,1.98788e-05,3.13876e-06,0,0.0024972,2.72026e-06,0.00206949,8.57929e-06,0.986796,0.00176399
60,1.99797e-06,0,1.87809e-05,0,2.87707e-05,0,0.00679669,2.03793e-05,4.19573e-06,0,0.00250126,2.39756e-06,0.00207509,8.59126e-06,0.986774,0.001768
61,1.89302e-06,0,1.91405e-05,0,2.92366e-05,0,0.00680162,2.10335e-05,4.20671e-06,0,0.0025051,2.31369e-06,0.00207075,8.62375e-06,0.986771,0.00176471
62,1.78901e-06,0,1.92815e-05,0,2.9618e-05,0,0.00681611,2.14681e-05,4.37312e-06,0,0.00251137,1.78901e-06,0.00207823,9.34258e-06,0.986743,0.00176376
63,1.88304e-06,0,1.88304e-05,0,2.99195e-05,0,0.00682875,2.13412e-05,4.39377e-06,0,0.00251114,1.88304e-06,0.00207888,9.41521e-06,0.986736,0.0017573
64,1.99827e-06,0,1.9583e-05,0,3.09732e-05,0,0.00683588,2.25804e-05,3.99654e-06,0,0.00251142,1.99827e-06,0.00207121,9.59169e-06,0.986739,0.00175148
65,2.10336e-06,0,1.97715e-05,0,3.09193e-05,0,0.00683107,2.27162e-05,3.99638e-06,0,0.00250951,2.10336e-06,0.0020636,9.88577e-06,0.986743,0.00176114
66,1.78857e-06,0,1.9873e-05,0,3.06044e-05,0,0.00683432,2.22577e-05,4.37206e-06,0,0.0025185,1.9873e-06,0.00204453,1.03339e-05,0.986751,0.00176015
67,1.67369e-06,0,2.02935e-05,0,3.11725e-05,0,0.00681611,2.19672e-05,4.60265e-06,0,0.00252204,2.09211e-06,0.00203333,1.00422e-05,0.986772,0.00176449
68,1.59867e-06,0,2.05828e-05,0,3.21732e-05,0,0.00682131,2.2781e-05,4.99583e-06,0,0.00250871,2.19817e-06,0.00202571,9.592e-06,0.986796,0.00175434
69,1.47249e-06,0,2.04045e-05,0,3.28155e-05,0,0.00681805,2.37702e-05,5.04854e-06,0,0.00250849,2.10356e-06,0.00202446,9.88672e-06,0.986804,0.00174953
70,1.19261e-06,0,2.08706e-05,0,3.27967e-05,0,0.00682072,2.38521e-05,4.77043e-06,0,0.00249175,1.98768e-06,0.00201988,1.01372e-05,0.986835,0.00173703
71,1.25568e-06,0,2.03001e-05,0,3.18105e-05,0,0.00682,2.42764e-05,4.81343e-06,0,0.00249064,1.88352e-06,0.00202583,1.00454e-05,0.986835,0.00173409
72,1.19858e-06,0,2.09751e-05,0,3.19621e-05,0,0.00685347,2.3572e-05,4.59455e-06,0,0.00247866,1.99763e-06,0.0020214,9.98815e-06,0.986825,0.00172695
73,1.05151e-06,0,2.06096e-05,0,3.23866e-05,0,0.00685375,2.39745e-05,4.41635e-06,0,0.00247463,2.10302e-06,0.00201932,1.00945e-05,0.986827,0.00173079
74,9.93786e-07,0,2.00745e-05,0,3.18012e-05,0,0.00685514,2.28571e-05,3.77639e-06,0,0.00247612,2.18633e-06,0.00202872,9.54035e-06,0.986811,0.00173813
75,8.36979e-07,0,2.02967e-05,0,3.13867e-05,0,0.00683477,2.19707e-05,3.34791e-06,0,0.00247453,1.8832e-06,0.00203679,1.00437e-05,0.986828,0.00173568
76,9.99272e-07,0,2.01853e-05,0,3.11773e-05,0,0.00683901,2.25835e-05,2.79796e-06,0,0.00247719,1.79869e-06,0.00204491,9.39315e-06,0.986812,0.00173773
